Date,Open,High,Low,Close,%Change,Volume,# of Trades,Turnover (1000)
2019-08-21,233.2,238.1,233.2,238.0,1.62,190439.0,2994.0,45104.54
2019-08-20,236.0,237.9,229.0,234.2,-0.76,284785.0,5225.0,66398.2
2019-08-19,231.3,238.8,231.2,236.0,2.03,375830.0,5713.0,88369.09
2019-08-16,220.3,232.8,217.8,231.3,4.99,475473.0,5425.0,106665.07
2019-08-14,223.4,225.0,219.7,220.3,-1.65,370451.0,4924.0,82299.58
2019-08-13,220.0,225.2,220.0,224.0,1.82,325030.0,3911.0,72343.07
2019-08-12,219.7,223.9,217.7,220.0,0.73,132599.0,2462.0,29173.28
2019-08-09,220.1,221.8,217.5,218.4,0.23,234655.0,4743.0,51635.59
2019-08-08,218.3,220.4,216.5,217.9,1.35,189706.0,2878.0,41500.69
2019-08-07,220.3,221.7,213.3,215.0,-1.33,301255.0,5146.0,65438.0
2019-08-06,211.7,222.0,211.6,217.9,2.93,322859.0,4954.0,70182.84
2019-08-05,225.0,226.0,211.7,211.7,-6.12,363738.0,5287.0,79058.96
2019-08-02,228.0,229.9,225.2,225.5,-1.96,201647.0,2831.0,45724.12
2019-08-01,229.8,232.1,227.3,230.0,0.0,273775.0,4092.0,62813.54
2019-07-31,225.7,231.1,224.6,230.0,1.82,464597.0,4870.0,106557.51
2019-07-30,223.3,225.9,222.3,225.9,1.35,110565.0,1603.0,24872.8
2019-07-29,225.0,226.2,222.3,222.9,-0.58,77286.0,1409.0,17323.22
2019-07-26,222.0,225.4,219.3,224.2,1.13,195770.0,2630.0,43752.56
2019-07-25,226.8,227.4,221.2,221.7,-2.16,289483.0,3361.0,64933.36
2019-07-24,224.5,226.9,224.0,226.6,0.94,224553.0,2392.0,50740.57
2019-07-23,225.0,226.0,222.6,224.5,-0.18,154854.0,2360.0,34741.65
2019-07-22,223.0,226.4,222.9,224.9,0.85,160718.0,2261.0,36114.9
2019-07-19,220.6,225.9,220.1,223.0,1.55,419776.0,4625.0,93720.56
2019-07-18,218.0,221.0,217.3,219.6,0.14,170772.0,2313.0,37378.17
2019-07-17,218.0,222.2,217.0,219.3,0.69,229762.0,3986.0,50490.97
2019-07-16,218.1,219.0,217.1,217.8,-0.09,86161.0,1307.0,18783.1
2019-07-15,217.2,219.0,216.5,218.0,0.37,87193.0,1173.0,18987.49
2019-07-12,217.5,219.6,216.5,217.2,-0.09,222447.0,2358.0,48450.55
2019-07-11,216.6,217.4,215.0,217.4,0.69,302002.0,2869.0,65493.65
2019-07-10,212.9,217.0,212.6,215.9,1.6,166681.0,2250.0,35949.27
2019-07-09,215.3,216.1,212.1,212.5,-2.07,233709.0,2768.0,49885.49
2019-07-08,215.7,217.4,214.0,217.0,0.05,310115.0,2766.0,67128.63
2019-07-05,213.5,217.4,213.0,216.9,1.59,176654.0,2176.0,38152.91
2019-07-04,215.0,215.6,211.5,213.5,-1.07,112503.0,1508.0,23984.56
2019-07-03,214.0,215.8,212.2,215.8,0.37,135919.0,2696.0,29191.14
2019-07-02,216.4,216.4,209.7,215.0,-0.74,279829.0,4127.0,59469.31
2019-07-01,218.3,218.6,210.7,216.6,0.6,314376.0,5074.0,67549.44
2019-06-28,214.9,218.6,214.3,215.3,0.56,730590.0,8129.0,158520.46
2019-06-27,208.5,214.4,207.2,214.1,2.69,400852.0,5260.0,84716.85
2019-06-26,202.8,208.5,202.5,208.5,3.01,303547.0,3252.0,62233.81
2019-06-25,204.0,205.2,201.8,202.4,0.55,511096.0,4130.0,104257.08
2019-06-24,204.9,206.5,201.3,201.3,-0.64,388256.0,3837.0,78632.3
2019-06-21,207.5,208.3,202.1,202.6,-2.41,694667.0,8152.0,141377.1
2019-06-19,206.0,208.4,205.0,207.6,1.52,252944.0,3241.0,52406.43
2019-06-18,204.0,208.2,200.6,204.5,0.25,407216.0,4942.0,83089.45
2019-06-17,208.5,209.9,203.5,204.0,-2.16,254724.0,4099.0,52195.23
2019-06-14,207.0,209.3,206.4,208.5,0.92,452545.0,3812.0,94143.06
2019-06-13,209.0,215.8,205.0,206.6,-1.76,679503.0,8058.0,141817.75
2019-06-12,222.5,222.9,210.2,210.3,-5.06,611566.0,7526.0,130397.24
2019-06-11,229.1,229.6,220.2,221.5,-3.06,588078.0,7344.0,130894.84
2019-06-10,232.1,233.0,220.0,228.5,4.1,886619.0,11767.0,202251.41
2019-06-07,213.0,219.6,212.9,219.5,3.54,272333.0,3415.0,59074.52
2019-06-06,210.7,212.6,207.8,212.0,1.05,203944.0,3399.0,42954.11
2019-06-05,209.0,211.5,207.7,209.8,1.35,192364.0,3472.0,40351.53
2019-06-04,203.0,207.0,197.4,207.0,1.97,473776.0,6932.0,95682.16
2019-06-03,208.7,209.6,203.0,203.0,-2.31,364295.0,5982.0,74672.95
2019-05-31,211.0,213.2,206.4,207.8,-3.03,420938.0,5655.0,88119.99
2019-05-30,209.0,214.7,204.6,214.3,2.68,255550.0,4160.0,53743.97
2019-05-29,215.0,215.1,206.1,209.7,-1.92,431101.0,6664.0,90491.45
2019-05-28,216.0,220.6,213.8,213.8,-1.2,715676.0,3839.0,153744.17
2019-05-27,219.0,222.0,215.7,216.4,-0.92,163662.0,3054.0,35561.5
2019-05-24,213.7,224.9,212.3,218.4,6.02,713424.0,9739.0,156431.9
2019-05-23,204.0,209.5,204.0,206.0,1.33,262750.0,3825.0,54369.43
2019-05-22,206.0,208.4,202.4,203.3,-0.97,457361.0,5394.0,93496.01
2019-05-21,206.5,208.7,202.1,205.3,-0.48,207672.0,4150.0,42536.3
2019-05-20,210.4,211.4,202.8,206.3,-2.27,219997.0,4118.0,45440.13
2019-05-17,212.6,212.8,208.1,211.1,-0.66,153340.0,3335.0,32279.81
2019-05-16,209.2,213.4,209.2,212.5,1.53,275199.0,4043.0,58285.15
2019-05-15,211.7,212.5,207.6,209.3,-0.05,149510.0,2725.0,31312.91
